usuario,comentario,keywords_detectadas
Usuario perdido,ahora quizas se digan cuantos dias estaran detenidos,no_relacionado
Usuario perdido,y como asi si dicen los florindos sangre Azul los ricos que handan en bus que CUENCA es lo mejor en seguridad,no_relacionado
Usuario perdido,siempre tienen complices,no_relacionado
Usuario perdido,Ahora deben pedir el pasado judicial investigar en la policia si tiene algun pendiente con la justicia para poder rentar otra tener camaras de seguridad y revisar seguido por alguna anomalia,no_relacionado
Usuario perdido,Hasta donde llego mi Cuenca y eso nace desde q Esa pin carcel se construyo,no_relacionado
Usuario perdido,En Bemani,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,Zamora M Ciudad segura?,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,@,no_relacionado
Usuario perdido,encanta que sea tan sencillo con las cosas y que podamos ver esa recuperacion saludable,no_relacionado
Usuario perdido,Demasiada gente Costena esta en la ciudad de Cuenca.,no_relacionado
Usuario perdido,"lacrota mismo esta. era que den dando el vire de una vez y santo remedio, buen trabajo de los senores policias,",no_relacionado
Usuario perdido,El juez ya le a de haber soltado,no_relacionado
Usuario perdido,Ojala no lo suelten los fiscales y jueces corruptos...,no_relacionado
Usuario perdido,carcel unos 20 anos por intento de asesinato no de robo,no_relacionado
Usuario perdido,"Que buen trabajo!!! Ojala los jueces no los liberen como es costumbre y quizas dejen de estar arrendando a cualquiera, deberian pedir antecedentes policiales para arrendar",no_relacionado
Usuario perdido,en la chola cuencana estan los extorsionadores vacunadores vende drogas y no hacen nada,no_relacionado
Usuario perdido,pero con todas las pruebas ya deberian estar presos,no_relacionado
Usuario perdido,pero para el melcochero es la ciudad mas segura,no_relacionado
Usuario perdido,bemani???,no_relacionado
Usuario perdido,bueno ahora la delincuencia se han radicado en todo el Ecuador y viven en grandes ciudadelas y los campos ya no hay donde vivir tranquilos,no_relacionado
Usuario perdido,"Ojala no le suelten como siempre, asi tengan pruebas han de decir q no es suficiente y la policia q hace su esfuerzo ha de ser en vano",no_relacionado
Usuario perdido,"De nada sirve atraparlos, capaz ya estan en libertad",no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,Tenemos nuevo Gobernador?,no_relacionado
Usuario no disponible,proxima salida,no_relacionado
Usuario no disponible,Interesante plan,no_relacionado
Usuario no disponible,Todo se ve muy lindoooo algun dia ire,no_relacionado
Usuario no disponible,si muy lindo todo,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,sigue defendiendo lo indefendible al apoyar a Jorge Glas. El #GDO #RC5 es un claro ejemplo de como la corrupcion se perpetua en la politica.,no_relacionado
